year,pollutant,industry,emission_value
2017,Benzene,"Water supply; sewerage, waste management and remediation activities",0.923
2017,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,7.20E-02
2018,Benzene,"Agriculture, forestry and fishing",0.17
2018,Benzene,"Arts, entertainment and recreation",1.30E-02
2018,Benzene,Construction,0.12
2018,Benzene,Education,0.01
2018,Benzene,"Electricity, gas, steam and air conditioning supply",0.292
2018,Benzene,Financial and insurance activities,2.00E-03
2018,Benzene,Human health and social work activities,0.02
2018,Benzene,Information and communication,6.00E-03
2018,Benzene,Manufacturing,1.88
2018,Benzene,Mining and quarrying,0.694
2018,Benzene,Other service activities,4.00E-03
2018,Benzene,"Professional, scientific and technical activities",1.10E-02
2018,Benzene,Public administration and defence; compulsory social security,8.30E-02
2018,Benzene,Real estate activities,5.00E-03
2018,Benzene,Transport and storage,2.111
2018,Benzene,"Water supply; sewerage, waste management and remediation activities",0.918
2018,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,6.70E-02
2019,Benzene,"Agriculture, forestry and fishing",0.152
2019,Benzene,"Arts, entertainment and recreation",1.20E-02
2019,Benzene,Construction,0.119
2019,Benzene,Education,0.01
2019,Benzene,"Electricity, gas, steam and air conditioning supply",0.282
2019,Benzene,Financial and insurance activities,1.00E-03
2019,Benzene,Human health and social work activities,0.02
2019,Benzene,Information and communication,5.00E-03
2019,Benzene,Manufacturing,1.769
2019,Benzene,Mining and quarrying,0.585
2019,Benzene,Other service activities,4.00E-03
2019,Benzene,"Professional, scientific and technical activities",0.01
2019,Benzene,Public administration and defence; compulsory social security,7.80E-02
2019,Benzene,Real estate activities,5.00E-03
2019,Benzene,Transport and storage,2.337
2019,Benzene,"Water supply; sewerage, waste management and remediation activities",0.912
2019,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,6.60E-02
2020,Benzene,"Agriculture, forestry and fishing",0.149
2020,Benzene,"Arts, entertainment and recreation",1.20E-02
2020,Benzene,Construction,0.107
2020,Benzene,Education,8.00E-03
2020,Benzene,"Electricity, gas, steam and air conditioning supply",0.272
2020,Benzene,Financial and insurance activities,1.00E-03
2020,Benzene,Human health and social work activities,0.02
2020,Benzene,Information and communication,4.00E-03
2020,Benzene,Manufacturing,1.722
2020,Benzene,Mining and quarrying,0.5
2020,Benzene,Other service activities,3.00E-03
2020,Benzene,"Professional, scientific and technical activities",8.00E-03
2020,Benzene,Public administration and defence; compulsory social security,6.10E-02
2020,Benzene,Real estate activities,4.00E-03
2020,Benzene,Transport and storage,2.9
2020,Benzene,"Water supply; sewerage, waste management and remediation activities",0.914
2020,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,4.90E-02
2021,Benzene,"Agriculture, forestry and fishing",0.152
2021,Benzene,"Arts, entertainment and recreation",1.20E-02
2021,Benzene,Construction,0.126
2021,Benzene,Education,9.00E-03
2021,Benzene,"Electricity, gas, steam and air conditioning supply",0.265
2021,Benzene,Financial and insurance activities,1.00E-03
2021,Benzene,Human health and social work activities,2.20E-02
2021,Benzene,Information and communication,4.00E-03
2021,Benzene,Manufacturing,1.742
2021,Benzene,Mining and quarrying,0.476
2021,Benzene,Other service activities,4.00E-03
2021,Benzene,"Professional, scientific and technical activities",9.00E-03
2021,Benzene,Public administration and defence; compulsory social security,8.40E-02
2021,Benzene,Real estate activities,5.00E-03
2021,Benzene,Transport and storage,1.953
2021,Benzene,"Water supply; sewerage, waste management and remediation activities",0.912
2021,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.05
2022,Benzene,"Agriculture, forestry and fishing",0.139
2022,Benzene,"Arts, entertainment and recreation",1.20E-02
2022,Benzene,Construction,0.109
2022,Benzene,Education,8.00E-03
2022,Benzene,"Electricity, gas, steam and air conditioning supply",0.261
2022,Benzene,Financial and insurance activities,1.00E-03
2022,Benzene,Human health and social work activities,0.02
2022,Benzene,Information and communication,4.00E-03
2022,Benzene,Manufacturing,1.69
2022,Benzene,Mining and quarrying,0.438
2022,Benzene,Other service activities,4.00E-03
2022,Benzene,"Professional, scientific and technical activities",8.00E-03
2022,Benzene,Public administration and defence; compulsory social security,7.20E-02
2022,Benzene,Real estate activities,4.00E-03
2022,Benzene,Transport and storage,3.038
2022,Benzene,"Water supply; sewerage, waste management and remediation activities",0.916
2022,Benzene,Wholesale and retail trade; repair of motor vehicles and motorcycles,5.50E-02
NA,Benzene,"Agriculture, forestry and fishing",NA
NA,Benzene,"Arts, entertainment and recreation",NA
NA,Benzene,Construction,NA
NA,Benzene,Education,NA
NA,Benzene,"Electricity, gas, steam and air conditioning supply",NA
NA,Benzene,Financial and insurance activities,NA
NA,Benzene,Human health and social work activities,NA
NA,Benzene,Information and communication,NA
